zipcode,city,state,county,citytype,timezone,dst,classificationcode
00501,HOLTSVILLE,NY,SUFFOLK,N,5,Y,U
00501,HOLTSVILLE,NY,SUFFOLK,P,5,Y,U
00544,HOLTSVILLE,NY,SUFFOLK,N,5,Y,U
00544,HOLTSVILLE,NY,SUFFOLK,P,5,Y,U
00601,ADJUNTAS,PR,ADJUNTAS,P,4,N, 
00601,ADJUNTAS,PR,ADJUNTAS,U,4,N, 
00601,ADJUNTAS,PR,ADJUNTAS,U,4,N, 
00601,ADJUNTAS,PR,ADJUNTAS,U,4,N, 
00602,AGUADA,PR,AGUADA,U,4,N, 
00602,AGUADA,PR,AGUADA,U,4,N, 
00602,AGUADA,PR,AGUADA,U,4,N, 
00602,AGUADA,PR,AGUADA,U,4,N, 
00602,AGUADA,PR,AGUADA,U,4,N, 
00602,AGUADA,PR,AGUADA,P,4,N, 
00602,AGUADA,PR,AGUADA,U,4,N, 
00602,AGUADA,PR,AGUADA,U,4,N, 
00602,AGUADA,PR,AGUADA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,N,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,P,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
00603,AGUADILLA,PR,AGUADILLA,U,4,N, 
